2023-02-10 13:02:55 - Starting VsatApplication using Java 18.0.2 with PID 19880 (C:\Users\svsmirnov\Desktop\vsat\target\classes started by svsmirnov in C:\Users\svsmirnov\Desktop\vsat)
2023-02-10 13:02:55 - No active profile set, falling back to 1 default profile: "default"
2023-02-10 13:02:56 - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-10 13:02:56 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-10 13:03:00 - Tomcat initialized with port(s): 8088 (http)
2023-02-10 13:03:00 - Starting service [Tomcat]
2023-02-10 13:03:00 - Starting Servlet engine: [Apache Tomcat/10.1.4]
2023-02-10 13:03:00 - Initializing Spring embedded WebApplicationContext
2023-02-10 13:03:00 - Root WebApplicationContext: initialization completed in 4604 ms
2023-02-10 13:04:20 - 10.2.55.1 - Error: Response PDU is null
2023-02-10 13:04:20 - 10.2.18.1 - Error: Response PDU is null
2023-02-10 13:04:21 - 10.2.114.1 - Error: Response PDU is null
2023-02-10 13:04:21 - 10.2.73.1 - Error: Response PDU is null
2023-02-10 13:04:22 - 10.2.133.1 - Error: Response PDU is null
2023-02-10 13:04:23 - 10.2.1.1 - Error: Response PDU is null
2023-02-10 13:04:24 - 10.2.115.1 - Error: Response PDU is null
2023-02-10 13:04:24 - 10.2.202.1 - Error: Response PDU is null
2023-02-10 13:04:24 - 10.2.74.1 - Error: Response PDU is null
2023-02-10 13:04:24 - 10.2.156.1 - Error: Response PDU is null
2023-02-10 13:04:24 - 10.2.175.1 - Error: Response PDU is null
2023-02-10 13:04:25 - 10.2.21.1 - Error: Response PDU is null
2023-02-10 13:04:25 - 10.2.58.1 - Error: Response PDU is null
2023-02-10 13:04:27 - 10.2.116.1 - Error: Response PDU is null
2023-02-10 13:04:27 - 10.2.203.1 - Error: Response PDU is null
2023-02-10 13:04:27 - 10.2.157.1 - Error: Response PDU is null
2023-02-10 13:04:28 - 10.2.217.1 - Error: Response PDU is null
2023-02-10 13:04:28 - 10.2.59.1 - Error: Response PDU is null
2023-02-10 13:04:29 - 10.2.136.1 - Error: Response PDU is null
2023-02-10 13:04:30 - 10.2.117.1 - Error: Response PDU is null
2023-02-10 13:04:30 - 10.2.25.1 - Error: Response PDU is null
2023-02-10 13:04:30 - 10.2.4.1 - Error: Response PDU is null
2023-02-10 13:04:30 - 10.2.158.1 - Error: Response PDU is null
2023-02-10 13:04:31 - 10.2.178.1 - Error: Response PDU is null
2023-02-10 13:04:31 - 10.2.98.1 - Error: Response PDU is null
2023-02-10 13:04:32 - 10.2.205.1 - Error: Response PDU is null
2023-02-10 13:04:33 - 10.2.198.1 - Error: Response PDU is null
2023-02-10 13:04:33 - 10.2.26.1 - Error: Response PDU is null
2023-02-10 13:04:33 - 10.2.138.1 - Error: Response PDU is null
2023-02-10 13:04:34 - 10.2.179.1 - Error: Response PDU is null
2023-02-10 13:04:34 - 10.2.99.1 - Error: Response PDU is null
